Ion name;Ion mass;Charge;Mult;Mass;Ion mode;adduct_ACN;adduct_Br;adduct_CH3OH;adduct_Cl;adduct_DMSO;adduct_FA;adduct_H;adduct_H2O;adduct_Hac;adduct_IsoProp;adduct_K;adduct_NH4;adduct_Na;adduct_TFA;adduct_M
M+H;M + 1.007276;1;1.0;1.007276;positive;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
M+NH4;M + 18.033823;1;1.0;18.033823;positive;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
M+Na;M + 22.989218;1;1.0;22.989218;positive;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
M+CH3OH+H;M + 33.033489;1;1.0;33.033489;positive;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
M+K;M + 38.963158;1;1.0;38.963158;positive;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
M+ACN+H;M + 42.033823;1;1.0;42.033823;positive;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
M+2Na-H;M + 44.971160;1;1.0;44.97116;positive;0;0;0;0;0;0;-1;0;0;0;0;0;2;0;1
M+IsoProp+H;M + 61.06534;1;1.0;61.06534;positive;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
M+ACN+Na;M + 64.015765;1;1.0;64.015765;positive;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
M+2K-H;M + 76.919040;1;1.0;76.91904;positive;0;0;0;0;0;0;-1;0;0;0;2;0;0;0;1
M+DMSO+H;M + 79.02122;1;1.0;79.02122;positive;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
M+2ACN+H;M + 83.060370;1;1.0;83.06037;positive;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1
M+IsoProp+Na+H;M + 84.05511;1;1.0;84.05511;positive;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
M-H2O-H;M- 19.01839;-1;1.0;-19.01839;negative;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;1
M-H;M - 1.007276;-1;1.0;-1.007276;negative;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;1
M+Na-2H;M + 20.974666;-1;1.0;20.974666;negative;0;0;0;0;0;0;-2;0;0;0;0;0;1;0;1
M+Cl;M + 34.969402;-1;1.0;34.969402;negative;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
M+K-2H;M + 36.948606;-1;1.0;36.948606;negative;0;0;0;0;0;0;-2;0;0;0;1;0;0;0;1
M+FA-H;M + 44.998201;-1;1.0;44.998201;negative;0;0;0;0;0;1;-1;0;0;0;0;0;0;0;1
M+Hac-H;M + 59.013851;-1;1.0;59.013851;negative;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;1
M+Br;M + 78.918885;-1;1.0;78.918885;negative;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
M+TFA-H;M + 112.985586;-1;1.0;112.985586;negative;0;0;0;0;0;0;-1;0;0;0;0;0;0;1;1
